,prefix,region,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2
10,182724_2525_x8483_y21088,AId,172,211,958.605,176343.0637,99,7.8098,7.551697888554598,1,0.5061443255860445,54,389,3092.5388,3853091.0881,152,212.8768,238.4957323936846,1,0.5186809125011588
11,182725_2917_x9391_y22263,AId,147,312,1575.8802,327600.5859,143,7.6241,9.708935575025706,1,0.5978327246216131,87,637,3949.2828,9169672.4429,277,163.9006,192.001653112675,3,0.41983786479447327
12,191807_2469_x5431_y10056,AId,137,398,1889.961,1366269.7328,180,40.0816,7.075260631241802,1,0.6379243691270845,164,541,3109.5747,6744092.0336,239,210.0773,228.45980713683534,1,0.4495347664531264
13,236174_2657_x11930_y12250,AId,101,232,1831.8948,283489.6865,93,25.8058,19.743490547519716,1,0.6110699747914838,152,199,1550.2457,472054.4745,80,143.7699,142.57081012254926,1,0.4675795531536075
14,236174_2669_x10674_y13239,AId,107,234,1873.4232,412909.4991,94,19.424,17.448711528362193,1,0.431243950777676,147,394,3342.8511,1484413.4486,150,124.7299,123.76714735340718,1,0.44575614955000425
15,236174_2801_x11376_y11451,AId,196,544,4343.7199,727154.0022,213,31.1652,54.9109445283907,1,0.5388187443922152,29,46,371.5682,156976.8283,18,151.2509,165.47292540775365,0,0.6305749358741338
16,236174_3001_x12887_y24248,AId,51,229,2369.3126,801485.1504,79,92.7098,80.14541562684668,1,0.4608373241417718,60,461,4506.2005,1994837.0322,158,53.6459,83.69405722033076,2,0.5009567992965505
17,236174_3215_x11999_y11133,AId,3,3,18.9682,0.0,0,127.7839,130.23532425958788,0,0.0,108,618,5111.1276,4782148.7783,225,90.5599,133.11636275830256,1,0.545774538090262
18,236174_3229_x11884_y10380,AId,169,423,3431.6751,668117.8723,165,92.6828,91.63055696654911,1,0.4880737060967329,95,245,2209.0952,1798621.4441,92,58.8238,127.11715349172982,1,0.595563242881344
19,236174_3729_x15151_y26698,AId,129,635,6411.3681,5433685.2007,204,112.1985,152.48728550275922,1,0.5498556741019784,53,153,1680.0508,1442954.7607,50,188.012,201.89924855107807,1,0.4438918357648014
20,236174_3929_x12721_y8845,AId,46,234,2353.4404,1654197.8466,81,111.2149,113.92977889542311,0,0.45230334868516403,67,338,3049.6776,2572865.9164,130,118.0111,156.36134923810295,1,0.5334071052395417
21,17109_2201_x8046_y23301,MOs,76,280,2360.8627,906485.6582,108,18.6661,6.418832526246513,1,0.46509843813434026,31,94,919.7223,999315.9826,31,193.0553,196.1134941456095,0,0.5233935166067283
22,18047_2622_x11862_y12983,MOs,130,176,978.293,244782.5002,79,5.2842,5.142101126971339,1,0.5062095808449587,25,38,212.572,33873.5224,17,59.9675,64.23910997982459,0,0.4436777659381564
23,18047_3132_x24052_y12385,MOs,153,276,1338.5184,366240.3758,125,4.7648,4.587782088329844,1,0.464689002833555,48,93,493.9264,230296.4338,42,11.3267,5.087865859080785,0,0.4618582572360177
24,18047_4141_x14168_y9063,MOs,202,452,1893.8685,2066113.3757,207,37.3998,6.884001063335205,2,0.46271639381533813,74,455,2287.5293,2711163.0397,197,159.7485,106.64467318155184,2,0.46083826762155095
25,182724_2238_x7096_y20268,MOs,160,363,1644.3928,895472.4065,170,11.7395,13.629603772670727,1,0.47232407109121877,24,227,2129.85,6166915.7274,78,262.8913,274.72067361048755,0,0.3997371928530798
26,182724_2247_x6785_y11803,MOs,186,597,2615.6831,1472517.1478,280,60.5561,4.311470282861749,3,0.5282107343989461,180,837,4606.3619,10717418.8753,370,258.5767,237.81898487294913,1,0.3896394121812199
27,182724_2333_x7081_y21185,MOs,107,291,1439.5998,1145072.6437,134,50.7172,9.031301456600817,1,0.5442640092262225,155,554,3298.8686,6250453.3895,234,267.4154,245.87724965315513,2,0.47521076994236355
28,182724_2494_x6419_y20983,MOs,225,418,1315.9641,759993.5177,202,18.1402,6.641551312758178,2,0.4650165842195404,109,697,3785.6033,6047586.5666,304,204.7257,133.9449442345623,3,0.4631477257679929
29,182724_2526_x7529_y21792,MOs,205,542,2385.5208,1181046.2456,254,55.1234,2.856379001463208,2,0.5653546884512773,125,465,2569.11,4457534.4991,203,219.0558,219.12124719205116,2,0.37282098390126833
30,182724_2670_x5615_y13225,MOs,267,631,2444.1387,1226163.5923,298,16.1689,17.749422279048964,1,0.41914535231604494,78,552,3638.683,6112670.5076,225,241.9071,287.3150474827241,2,0.5324997308798469
31,182724_2926_x5279_y13761,MOs,236,481,2151.9075,2337000.7278,220,23.0422,12.510724279593084,1,0.4889637382074031,48,409,3113.6137,5544434.8889,158,219.6467,193.92256585297136,0,0.509094866637999
32,182724_2997_x5821_y12613,MOs,134,196,1017.6051,129740.2272,90,5.6228,6.285906299015268,1,0.568092434972637,24,66,495.8552,434878.4323,25,93.2079,144.66255980729775,0,0.5083634466739472
33,182725_2241_x9113_y11193,MOs,179,496,2506.6036,1092732.8295,227,26.0823,7.158415257583202,1,0.5538818304047628,157,487,2628.7532,9356471.7359,214,259.8149,295.3736506680987,2,0.3800565174344657
34,182725_2390_x8944_y12077,MOs,103,216,1277.8371,1631945.9917,94,32.39,1.1295087427727144,1,0.537731009731578,160,661,3886.8062,8069482.1022,284,301.9788,233.03551314552894,3,0.4860330227276526
35,18453_1641_x24165_y10580,MOs,235,331,1557.4914,143674.6007,155,14.1582,10.410811543775054,1,0.5447063390457141,97,228,1677.1278,3136094.9506,89,49.773,52.85991310057179,1,0.49469945201366455
36,18453_1643_x24077_y11694,MOs,246,435,2490.0054,700846.5263,200,20.0616,11.555563075852248,1,0.4294581263064935,43,158,1257.7754,3104302.553,63,69.4445,150.08837014572453,0,0.4502193228968245
37,18453_1924_x22284_y8069,MOs,179,275,1721.8415,865045.799,116,23.1706,10.044549965030805,1,0.5783555874042889,20,59,680.4914,1805398.9703,14,74.1289,16.905177816278673,0,0.4744709178596449
38,18453_2190_x23739_y8507,MOs,131,374,2367.7116,2478997.0783,164,16.5761,6.538205411273047,1,0.39106884932515723,49,77,505.3908,366317.8706,33,130.6641,127.51572779465288,0,0.41479816762260113
39,18453_2400_x15836_y7243,MOs,257,434,2474.3967,3172425.1269,195,23.1279,5.221859630438187,1,0.4869739517525238,100,162,1084.1303,1203367.4271,66,92.6302,87.07812603633589,1,0.5110270802649785
40,18453_2428_x13810_y8197,MOs,193,255,1169.9923,221134.2906,119,5.6126,8.124845514839036,1,0.524022664292989,31,135,1057.5761,2005458.2077,53,78.5887,133.69621812901067,0,0.6083566616456997
41,18453_2632_x11687_y8383,MOs,231,337,1887.11,653378.2556,158,9.7354,5.179836773490073,1,0.3842989198205248,57,98,658.537,511544.6381,42,194.3257,202.18015273760182,1,0.5504837931949234
42,18453_2884_x12998_y7285,MOs,197,368,2222.0302,885521.9867,163,15.873,8.873190970558463,2,0.47313417645665434,24,38,335.7818,405112.2532,13,164.8757,188.46264207794604,0,0.597911249435823
43,18453_2991_x13607_y7348,MOs,148,266,1559.9227,1751621.913,118,18.5471,5.190696581384822,1,0.4240662518336244,67,78,452.7798,190189.3178,34,136.5851,143.56416907083744,1,0.5898304008515662
44,18453_3516_x21006_y6048,MOs,223,518,2893.3102,4605119.1901,231,14.4123,13.251867415575807,1,0.47597863923928796,90,115,704.5189,303918.6982,51,150.707,150.10250261404704,1,0.6037616713098135
45,18461_2985_x10744_y3095,MOs,107,175,1041.8665,334422.2091,76,14.4366,4.287784509510727,1,0.5187510626288341,43,105,982.8035,2992819.4852,36,59.7292,15.55401559083699,0,0.5686133420593212
46,18470_3582_x22459_y29708,MOs,237,283,837.0219,188723.7192,133,3.4246,3.5840996079908165,1,0.5615495680018434,72,237,1603.5387,3366518.2941,96,152.221,127.84137492220583,1,0.4519828617252861
47,18864_1871_x3272_y21319,MOs,224,358,2287.5239,405786.338,160,17.8906,12.308102168896712,1,0.5698695561861834,17,89,841.9618,2129536.4001,29,192.6605,300.6005057497409,0,0.6054768832088018
48,18864_1917_x3417_y12763,MOs,136,418,3059.9831,2804243.9064,167,64.4252,9.336437596856731,2,0.5065083562811898,91,194,1327.2207,2000869.4673,78,122.8072,109.1636974502055,1,0.48402272846751887
49,18864_2047_x3016_y12128,MOs,181,234,1613.2462,165767.0228,97,11.8923,17.018138624420708,1,0.4641925374139109,19,58,685.5321,847040.5374,14,168.5325,189.6541207224351,0,0.52361130183262
50,18864_2086_x2903_y21496,MOs,162,216,1296.0996,157687.5617,95,17.5806,14.176594619301206,1,0.585996540614363,79,121,806.4619,305423.0627,50,17.4578,17.79712159339256,1,0.4484037535807044
51,18864_2520_x2913_y22642,MOs,212,392,2183.0284,2318621.3196,175,26.6381,6.418799108867629,1,0.470530805939693,67,98,513.0576,310807.0169,41,95.6683,96.5178728733699,1,0.4592351981136313
52,18864_3248_x2473_y15212,MOs,250,517,3333.3757,3351091.2336,225,27.8128,11.014584286299694,1,0.58370406253196,145,197,982.0945,323029.7623,91,52.7986,50.82205680607586,1,0.44011084998292266
53,18864_4267_x2794_y21031,MOs,232,325,2051.1646,597959.7709,147,8.7158,11.08905311557304,1,0.40448447810569854,26,38,340.6569,170924.4837,12,248.2322,277.91439996696835,0,0.7566621224153173
54,18868_2621_x11765_y8944,MOs,163,317,1521.62,1335554.1254,145,40.5254,6.722857279460869,1,0.5509004857107515,196,700,3076.3121,4566066.6542,319,294.1486,369.92931590507936,3,0.5012488672604737
55,18869_4414_x15653_y4273,MOs,587,587,1036.2902,8503.2667,292,7.4476,7.320226635835815,1,0.514987258988818,37,37,51.1468,316.0052,18,20.4755,15.095794546826593,0,0.49314433707219946
56,191807_2729_x3750_y9965,MOs,132,530,2888.0416,1894240.5824,241,37.4205,9.927043215378891,2,0.5425134061552078,190,683,3437.8641,4763092.1945,303,284.5419,284.01767745159805,4,0.5436789767380593
57,191812_2734_x6259_y10487,MOs,173,368,2420.4488,623007.2698,158,6.3318,8.321247803064164,1,0.4450690524517494,23,143,1313.6807,4671191.802,50,135.7268,188.67981476829996,0,0.5116859297099132
58,191812_3140_x5204_y12992,MOs,158,245,1302.3759,216032.2633,111,3.857,5.909719536492415,1,0.4848153132854201,37,195,1934.8442,9186000.1469,64,89.3941,141.03317032882725,0,0.479169214485418
59,191812_3176_x5144_y19229,MOs,157,254,1571.3118,224324.4145,115,11.2271,11.840436393984822,1,0.3884444823173521,30,71,654.6231,751389.3092,25,45.8327,117.55699763944297,0,0.7049287021065324
60,191812_3727_x4996_y18685,MOs,151,486,3001.2407,3148129.5553,213,23.2435,7.834726159860353,1,0.4158623208271232,40,178,1394.4175,3170829.695,69,174.9006,110.69099904237923,0,0.5680814594734072
61,210254_2226_x16029_y23953,MOs,50,52,192.484,24576.1846,23,4.8998,10.375396185206618,0,0.664316838131196,44,74,573.9741,548939.1358,29,179.4142,185.88777778541544,0,0.5340068928427361
62,210254_2309_x13266_y25533,MOs,99,110,483.6429,64751.5735,51,8.6044,1.4210854715202004e-14,1,0.6667578043213018,84,156,938.122,332338.5826,66,175.2591,179.02910370383916,1,0.554521792439515
63,210254_4021_x16401_y21556,MOs,42,46,296.622,38980.9755,20,4.8425,12.109683108983496,0,0.6151565620618482,56,100,905.5671,237563.8957,37,94.7571,91.72575618658041,1,0.4455531047020568
64,210254_4500_x16614_y17147,MOs,47,52,216.9437,29192.4629,24,2.4935,7.105427357601002e-15,0,0.5737055635981104,54,146,1080.234,483897.6072,57,98.7202,101.43811359148985,1,0.40615981454326205
65,17109_2401_x8977_y24184,MOp,51,107,959.9709,316099.3351,35,17.9917,16.5263459361106,1,0.4673451323504332,47,162,1526.4165,1348635.3869,57,201.3815,214.27646932409542,0,0.5035141193927241
66,17781_00003,MOp,130,534,3108.4413,1930193.0614,227,26.3838,16.852024596469114,1,0.4554622261453286,58,242,935.4058,636897.0231,114,42.873,63.59310398934778,2,0.6231240209095608
67,17782_3352_x11384_y16404,MOp,66,461,3352.917,2586087.431,183,71.8471,99.30518760870451,2,0.4312375517644885,96,501,3236.8617,4078619.4625,208,198.15,188.39854569767786,1,0.3964429231763065
68,182724_4327_x4847_y18972,MOp,110,260,1424.116,1122601.8754,117,43.0532,4.866410792360172,1,0.4974586887599065,115,443,3351.1752,5823716.6946,172,171.3009,133.2018220821322,1,0.5453205358344819
69,182724_4472_x5247_y12162,MOp,183,212,1126.6982,124215.647,99,4.7454,4.025505930935892,1,0.41719260643348177,34,44,280.3837,60710.4395,17,11.1349,13.57543656756568,0,0.4380560895436416
70,182725_2376_x10033_y10786,MOp,121,267,1572.3013,821626.9955,121,29.9428,9.545450487012111,1,0.602103641943776,92,351,2059.8648,4937728.003,150,274.5108,286.9809983483227,1,0.5445296556420502
71,182725_3762_x5563_y19178,MOp,124,440,2289.0968,4157374.1445,198,28.4489,14.371728671248981,2,0.3814521298748915,114,547,2954.7505,7151626.2646,235,241.0482,276.50463684538823,3,0.47269198876322677
72,182725_4080_x6576_y11407,MOp,152,275,1238.3821,661205.0085,126,9.838,8.127496852660114,1,0.4037191607790396,60,337,2304.1779,3092061.0432,138,183.5891,172.8110208551527,1,0.47043621218975556
73,182725_4160_x5717_y19181,MOp,119,229,1365.7012,1942711.4299,98,16.9133,6.111598645199141,1,0.4399103630096585,84,239,1798.1531,4285565.6826,88,259.2457,267.98674792235533,1,0.5745549981023712
74,182725_4290_x5671_y18488,MOp,102,179,1219.9458,1493791.3562,72,14.2919,0.0,1,0.42584030483903523,98,267,1602.2358,5218806.6934,108,255.5827,240.98344232125157,1,0.5307603738794666
75,18453_2645_x28684_y11703,MOp,163,270,1580.1742,542649.7512,117,17.4639,12.021960572219484,1,0.49262951576815417,36,181,1440.3935,4137532.2869,69,36.4361,57.362376040397784,0,0.4664808823988527
76,18453_2713_x27713_y9899,MOp,171,275,1312.6577,330869.8684,127,9.8999,3.2569224737472466,1,0.45357864233535744,80,180,1192.5017,2566127.2866,75,26.761,28.55108073698786,1,0.3815485419005182
77,18453_3021_x27493_y8943,MOp,181,564,3269.1559,2871767.8875,256,31.1265,4.574697913523918,2,0.40121192001604417,47,86,567.5668,576852.7146,37,201.8056,216.02276152757608,0,0.5780655912181
78,18453_3186_x12745_y7108,MOp,54,55,187.9452,19011.2257,26,16.0923,16.559010719242863,1,0.4641883587016673,45,45,93.064,1273.3017,21,4.2215,0.0,0,0.3820708020366743
79,18453_3456_x24161_y6646,MOp,175,304,1779.2952,832555.6254,136,9.3867,5.3126254338133005,1,0.5399830740536823,55,77,553.8805,363506.6531,31,112.5669,114.19366693910834,1,0.487182719618758
80,18453_3767_x22604_y5643,MOp,115,157,741.4425,214692.5869,72,9.8088,9.50226420386214,1,0.6412793758546563,62,147,1015.9209,1382542.3783,62,20.9342,51.02522177315841,1,0.5436403799917539
81,18453_3795_x13584_y5960,MOp,198,429,2312.4771,797111.9003,196,21.4426,10.096665489160259,2,0.5083340005543963,49,58,361.0323,101014.6571,24,125.5339,130.70534383490212,0,0.5439363380426254
82,18453_4067_x16924_y5288,MOp,141,393,2595.6178,1606073.7836,168,19.1104,15.659354584400978,1,0.5055133664698739,43,55,369.7565,173303.2884,22,110.1431,115.48028668132064,0,0.4062758247824218
83,18453_4221_x16935_y5165,MOp,161,269,1300.3977,962524.7356,124,18.7977,3.893584209953585,1,0.5542455002159624,52,189,1519.3987,2919783.8022,73,18.4304,103.6474366542656,1,0.5365839194476153
84,18461_3871_x7813_y3857,MOp,188,363,2071.6825,1749749.3256,162,23.2894,4.313044248555766,2,0.5166181773930505,55,61,286.8633,50965.3626,27,104.8348,109.50086860386085,1,0.6166694926062973
85,18461_4178_x16825_y2713,MOp,111,257,1509.254,597325.3176,118,20.238,9.601283768330152,2,0.5706087483636871,36,65,433.9652,247296.8846,27,90.2708,91.00278483650928,0,0.4205823218760866
86,18461_4233_x19011_y2874,MOp,115,137,645.3305,26824.506,62,3.3289,0.0,1,0.47409671711055196,93,150,961.9447,362881.5629,65,18.1039,21.058784014277744,1,0.5124242362928113
87,18864_3015_x3194_y23588,MOp,221,393,2251.6896,3916733.3377,176,21.3291,7.909942161609006,1,0.468907326691226,52,66,466.521,163829.5364,28,118.6371,128.75630330201315,1,0.5672509117063492
88,18864_3338_x3396_y21865,MOp,204,233,1230.2638,231545.7606,108,4.0872,5.75385201408588,1,0.43268807820019284,47,51,398.6398,51620.4285,18,120.3298,121.905178442099,0,0.6125814705634053
89,18864_3473_x2641_y21082,MOp,228,368,2317.7284,1538167.977,169,22.3514,8.683677561954964,1,0.547638622117282,38,50,268.5113,176198.5906,21,118.3269,128.19335129015076,0,0.5914277134138536
90,18864_3488_x3691_y22599,MOp,58,97,538.5887,107698.0273,41,14.1251,14.482151842871978,1,0.5763441806289604,34,222,1580.6274,3971999.2981,90,38.7006,29.113614152145384,0,0.4386688244124036
91,18864_3494_x2380_y13749,MOp,193,356,2279.4461,4683354.2172,151,59.8763,11.919652218080865,1,0.5348595558487337,31,94,711.2792,602500.307,39,87.6583,105.29185490815517,0,0.43624359549409986
92,18864_4067_x3464_y21495,MOp,181,265,1533.7658,340907.8981,111,12.2026,0.5025495000495063,2,0.5571648086790401,38,62,516.1923,307600.9975,24,57.9102,86.5974884912952,0,0.7037457058781134
93,18864_4120_x3320_y13563,MOp,187,337,2072.0461,4789686.477,147,19.4295,4.805506320878164,2,0.43224169454111433,53,56,256.4408,22299.2528,25,67.8219,62.5978543561998,1,0.5904880063673199
94,18864_4157_x3358_y13741,MOp,160,211,1030.6747,228597.3563,97,15.5963,3.621781467731044,1,0.5540364552470843,58,148,945.8774,2122256.2215,64,10.2865,34.31696172448836,1,0.44641166448294783
95,18864_4760_x3070_y21249,MOp,224,335,1872.9733,756364.6361,153,10.6614,9.559100899143191,1,0.5023079924948738,172,200,1137.693,201091.3237,92,74.7545,74.89507574600614,1,0.39229100663738276
96,18867_2903_x13633_y8787,MOp,208,693,2220.1769,2560757.2744,328,329.9638,358.1842593414736,3,0.3857005080318879,196,670,2389.4651,2799060.6952,318,130.6794,225.18163278784525,3,0.5436383861157802
97,18867_3469_x10058_y10954,MOp,142,334,1214.2305,524562.2204,157,36.3942,6.9634825339049895,2,0.5166559609742144,80,224,1026.1991,901712.7667,99,185.3011,158.14518294592472,2,0.5105193292745083
98,18867_3758_x14594_y6944,MOp,81,418,2429.0754,2366129.6796,183,110.5492,184.62659988744852,1,0.546765501247326,78,236,1280.3783,1662968.5539,102,336.864,368.1843890484767,1,0.5038469066420966
99,18867_5319_x14289_y4114,MOp,799,806,1351.8918,38439.0018,397,1.872,7.257167147034711,1,0.39222396113696084,138,139,336.5794,9342.7301,67,27.4004,27.382094551001746,1,0.5654355144815291
100,18868_2924_x10668_y9719,MOp,109,109,182.2973,6764.341,53,20.4676,16.208909556166933,1,0.44582714661151707,297,344,835.3513,92366.9341,170,6.3424,5.273931171336995,1,0.39676292783545414
101,18868_3009_x28076_y11485,MOp,141,786,3841.5257,8829637.5233,348,153.4157,88.26939343283152,5,0.5668785999315235,13,14,76.1628,1780.9378,5,223.6364,219.89916460960006,0,0.6655470506816064
102,18868_3112_x27714_y10534,MOp,118,261,1247.6782,822137.0541,120,38.7325,84.014227753399,2,0.5293754596258838,78,189,1381.5213,914200.5518,73,174.6479,162.94389511423864,1,0.5347525728543217
103,18868_3419_x27168_y8481,MOp,110,216,944.3996,1156026.9744,93,67.2572,1.4210854715202004e-14,1,0.6669082140126824,21,22,72.4586,4191.5264,9,21.9258,25.349057876970505,0,0.5040157916040127
104,18868_3488_x24952_y7321,MOp,103,368,1517.9616,847951.5095,171,63.7944,115.12690192131463,2,0.5272056633655543,115,347,2108.5651,2061357.2701,150,161.3831,143.58131601987773,1,0.4204598470966105
105,18868_3592_x9776_y8113,MOp,188,383,1375.9789,1157205.5709,181,44.9241,90.67622730352205,2,0.4474625643691487,120,309,1723.9933,1247783.2351,135,160.0073,139.14841585875132,1,0.5438675392173421
106,18868_3658_x9598_y8113,MOp,109,297,1138.7094,803558.2723,141,49.8831,5.548361379722845,2,0.47684279390987516,75,195,1108.0091,3326556.7689,78,173.8074,132.1413279977162,1,0.47896881593130297
107,18868_4132_x11881_y6094,MOp,151,214,509.6584,178479.477,103,31.8241,8.293569255754717,2,0.6049929782633003,86,147,723.3796,239624.5634,65,129.2431,121.43879950822966,1,0.469820904841594
108,18869_4184_x11041_y4195,MOp,480,518,1136.0476,83546.434,257,6.6327,5.449811556375133,1,0.45651478725826844,46,47,97.4439,5575.6047,23,16.4466,22.751520212944037,0,0.6453568659468364
109,18869_4301_x16815_y4413,MOp,1340,1385,2137.5419,40370.1129,689,2.2953,3.0470987840895423,1,0.4463371485917569,33,33,48.0113,319.0567,16,27.2378,18.794734235950244,0,0.6128101414060171
110,18869_4511_x11720_y4070,MOp,717,717,1133.7604,15528.0054,353,3.5372,7.858528997210608,1,0.46400175334612387,161,161,276.8569,5467.9364,77,16.1746,18.868424868016945,1,0.5379058434545412
111,191801_4724_x4226_y10240,MOp,89,108,523.6496,48434.8517,50,4.99,8.696451115253849,1,0.4728810474210864,117,168,1147.4868,1592381.3891,72,17.4413,9.781941013929698,1,0.40937752117552
112,191807_3532_x4912_y7973,MOp,181,359,1886.0034,2226968.7981,156,55.9774,9.987681512743578,1,0.5560778642325865,200,540,2749.8553,1725222.2609,244,354.2322,393.23524954535804,2,0.49683161880920285
113,191807_4114_x3589_y10280,MOp,255,700,2706.4686,1775112.9897,332,46.6013,6.950506240555446,2,0.44673191025491105,82,333,1495.0844,2491293.4264,147,188.5663,167.27759912492763,3,0.44154507413958693
114,191807_5199_x3288_y11643,MOp,195,353,1518.4229,978451.5307,160,49.9265,6.97845749431777,2,0.5419076452455351,30,127,1167.7657,3214960.2562,42,241.9409,257.46970451880355,0,0.6256297686675487
115,191812_2978_x7903_y22705,MOp,169,271,1806.8629,813292.0444,119,12.1172,10.439696212055226,1,0.5083501485422406,38,55,473.8686,181536.4501,20,224.0843,240.9772626058317,0,0.7265059199895525
116,191812_3163_x6264_y21524,MOp,150,721,5763.5696,4741430.0175,284,35.6626,14.976543092449605,3,0.4993408652106195,48,205,1938.2143,2649959.402,75,198.505,211.74595927195398,0,0.46353497403536514
117,191812_3438_x6058_y10197,MOp,102,246,1710.1575,2189813.9361,100,5.9141,11.505058583075538,1,0.45187225349489235,18,54,467.0308,795216.7309,18,152.5976,147.47892197205672,0,0.42019504900284904
118,191812_3801_x5383_y20989,MOp,120,559,3653.7029,7853083.5564,229,42.3963,8.04266572723249,3,0.5430296315843298,76,129,697.6664,97019.713,56,123.5119,127.96620986025961,1,0.5421128008348514
119,210254_3271_x15413_y13333,MOp,66,67,242.7591,23391.0854,31,1.1614,2.2162808937497114,1,0.5578300765234533,123,216,1387.2506,405038.398,95,123.5603,130.42850026355438,1,0.4796591196485592
120,210254_4397_x16794_y21812,MOp,41,43,188.1738,10276.615,19,3.2098,7.105427357601002e-15,0,0.672262495120073,65,143,1289.3275,488712.7522,54,99.8359,101.12312532254926,1,0.37687028948270784
121,210254_4485_x16442_y16836,MOp,59,61,261.1221,22732.2889,28,2.8351,0.0,1,0.5846208755203752,110,213,1629.0896,1192093.9946,87,102.1008,105.26110538085756,1,0.47438067045580545
122,236174_3029_x12820_y24699,MOp,147,451,4399.589,1927210.5032,161,62.4902,86.3945062431634,1,0.5069344808967868,49,120,1099.6805,918053.7905,42,195.5032,242.34807270948122,0,0.5928536780806857
123,17109_2401_x9695_y9693,CLA,74,248,2231.0202,17468572.3486,88,190.4251,199.50675832161676,1,0.43638600119953724,17,67,794.9134,1816208.3209,16,200.4383,206.63900715489316,0,0.514885405815123
124,17109_2500_x9864_y9311,CLA,35,161,1462.6908,2066235.7024,58,181.1913,196.58615247773685,0,0.5746071395296971,26,163,1530.7266,2621797.413,57,186.0082,230.22434806509932,0,0.5330244339127739
125,17109_2601_x10213_y8783,CLA,61,284,2618.08,8136674.7549,103,164.6142,177.14141004000166,1,0.409381887053208,57,126,1067.1904,839391.0206,50,230.6647,230.6624014203442,1,0.5827280124699286
126,17109_2601_x9296_y24691,CLA,83,346,2914.3649,1385366.6849,130,46.2178,118.93570033425623,2,0.5903992689403362,56,199,1417.0954,1959111.5917,81,228.8499,229.80438407697974,1,0.49054448928270944
127,17109_3101_x10824_y7188,CLA,70,245,2420.7193,1228790.9344,84,242.0949,246.9312165178797,1,0.46217783107760146,36,141,1341.0322,2733270.3861,49,170.0536,248.18577514031702,0,0.5480217926291938
128,17781_00004,CLA,23,88,794.1079,892323.675,28,106.5976,124.26505557074364,0,0.5335254419129456,11,28,283.4957,174842.676,8,91.794,158.5567769286447,0,0.6846493715459493
129,17781_4095_x17570_y12460,CLA,36,211,2016.9221,6131547.1897,68,69.2371,164.9878808731114,0,0.5450723855043794,32,287,2510.42,8274995.8038,99,159.4097,171.4210478991422,0,0.42774044469020484
130,17782_3284_x11909_y16428,CLA,36,299,2905.1476,4799820.0804,94,96.0687,92.03804368303359,0,0.5766542236684942,30,78,717.7165,1152525.9696,25,175.2462,178.64155997975385,0,0.4020787647066897
